mz,rt,t.score,p.value,mode
174.04055,12.994,0.21,1,negative
165.01929,18.35,0.13,1,negative
165.01914,18.305,0.18,1,negative
133.01395,13.587,-0.05,1,negative
71.01356,14.314,0.04,1,negative
117.03618,11.546,0.13,1,negative
117.03614,11.871,0.11,1,negative
175.09755,11.544,-0.04,1,negative
61.988,1.489,0.05,1,negative
151.026,1.342,0.07,1,negative
165.04037,13.43,0.21,1,negative
199.00697,15.963,-0.24,1,negative
157.01059,18.946,-0.06,1,negative
124.00712,15.323,0.77,1,negative
78.91856,14.759,-1.11,1,negative
202.99129,15.577,0.02,1,negative
151.00669,13.519,-0.06,1,negative
115.0034,13.651,-0.02,1,negative
116.03983,11.857,0.03,1,negative
118.9983,14.535,-0.15,1,negative
118.9983,14.249,-0.12,1,negative
193.03521,16.817,-0.05,1,negative
204.98875,15.427,-0.01,1,negative
113.02402,15.056,0.09,1,negative
285.11648,16.181,0.19,1,negative
255.23281,28.931,-0.28,1,negative
96.96945,12.662,0.03,1,negative
193.03517,12.218,-0.11,1,negative
203.05594,16.405,-0.34,1,negative
267.07333,1.514,0.53,1,negative
157.12331,15.28,0.09,1,negative
261.0727,12.952,0.12,1,negative
132.03005,13.057,0.27,1,negative
122.97549,15.076,-0.01,1,negative
323.0284,17.535,0.25,1,negative
161.00908,14.507,0.13,1,negative
145.0141,14.784,-0.25,1,negative
161.04549,1.184,0.07,1,negative
134.01742,13.59,0.03,1,negative
